area,intensity_mean-C:0,intensity_mean-C:1,intensity_mean-C:2,intensity_mean-C:3,intensity_mean-C:4,name,image_name,scene
3170.0,350.701261829653,617.7776025236593,685.4220820189274,975.0157728706624,507.93375394321765,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2434.0,285.0480690221857,592.1175020542317,648.8525061626951,1065.069433032046,504.45234182415777,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3470.0,240.02593659942363,596.1446685878963,551.3631123919308,930.6247838616716,444.52046109510087,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3008.0,248.9906914893617,474.1941489361702,500.905585106383,731.3434175531914,417.1535904255319,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3013.0,250.8542980418188,491.55227348157985,518.6405575838036,717.6030534351145,450.6236309326253,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2009.0,300.9626679940269,641.868093578895,628.3952215032355,1060.7580886012945,490.73419611747136,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2369.0,279.8197551709582,556.114394259181,576.1671591388772,958.4668636555508,460.7910510764035,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1791.0,321.6314907872697,630.141820212172,623.6945840312675,912.1809045226132,490.2110552763819,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
4161.0,222.55371304974767,457.0663302090843,470.2708483537611,759.3934150444604,434.49098774333095,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1957.0,324.1931527848748,614.104241185488,586.6366888094021,936.8461931527848,457.5120081757793,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1478.0,370.23951285520974,643.5006765899865,732.6461434370772,1067.362652232747,539.9864682002707,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1715.0,332.54927113702627,527.9725947521866,614.4361516034985,763.799416909621,449.82390670553934,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1570.0,322.70891719745225,668.4554140127389,677.1152866242038,1069.915286624204,493.0267515923567,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2983.0,254.24002681863897,613.443178008716,534.5088836741535,1003.9242373449548,515.8628897083473,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2042.0,466.9427032321254,565.4573947110675,659.7634671890304,1010.4172380019588,493.5235063663075,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
4367.0,296.7247538355851,495.43805816349897,533.3411953286009,914.700938859629,450.3531028165789,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2740.0,393.38613138686134,580.9770072992701,630.5204379562044,792.8138686131387,509.55985401459856,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2424.0,347.1287128712871,525.8436468646864,567.1365511551155,680.0771452145215,496.910891089109,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3520.0,273.8375,539.8025568181819,511.8116477272727,882.9017045454545,416.2230113636364,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2422.0,398.4938067712634,573.7407101568951,672.974814203138,862.5437654830719,508.81007431874485,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1891.0,312.0248545742993,501.8963511369646,545.7641459545214,738.5399259650978,449.6298254891592,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3139.0,346.5215036635871,695.8601465434851,739.5221408091749,911.7148773494744,528.3676330041415,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1940.0,322.71701030927835,662.7242268041238,627.8804123711341,950.0149484536082,452.5798969072165,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3344.0,332.9626196172249,539.1569976076555,630.7072368421053,920.6154306220096,443.7407296650718,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1744.0,328.05561926605503,532.1743119266055,571.6582568807339,798.9002293577981,464.7408256880734,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2687.0,385.4748790472646,593.1250465202828,659.7480461481206,973.7149237067362,444.4201711946409,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2901.0,370.7611168562565,608.1671837297483,654.0758359186487,911.438469493278,483.736297828335,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2246.0,297.03339269813,592.1041852181656,588.2012466607301,938.7569011576136,461.85752448797865,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2327.0,436.4787279759347,646.8328319724968,706.2376450365277,943.8792436613666,519.0287924366137,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2591.0,292.9560015438055,587.6194519490545,553.9988421458896,751.1968351987649,498.5387881126978,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2888.0,381.5301246537396,608.8240997229917,645.8542243767313,1004.2506925207756,471.0851800554017,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2282.0,388.99474145486414,528.9382120946539,633.8251533742331,821.2274320771253,523.1980718667835,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2510.0,358.8892430278884,541.7266932270917,616.903984063745,869.7346613545817,505.3151394422311,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2417.0,287.16756309474556,545.9532478278858,570.4050475796441,881.5357881671493,488.94786925941247,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2759.0,262.9514316781443,511.99166364624864,515.685393258427,773.7785429503443,451.4534251540413,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1828.0,543.0448577680526,901.7045951859956,1094.6859956236324,1611.4753829321662,646.7363238512035,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1741.0,344.55829982768523,608.8173463526708,654.4198736358414,951.1585295807008,530.4003446295233,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2903.0,367.54908715122286,594.9410954185325,605.7571477781605,782.174991388219,514.3282810885291,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1652.0,349.7421307506053,644.9418886198547,696.2621065375303,1119.7911622276029,507.1271186440678,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2675.0,265.14355140186916,480.02429906542056,509.54766355140185,787.9375700934579,444.56,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2300.0,295.72434782608696,550.4939130434783,540.204347826087,839.7321739130434,489.9508695652174,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2611.0,373.1306013021831,609.9329758713137,622.1394101876675,876.7227116047492,481.89084641899655,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2704.0,316.8968195266272,549.1449704142012,573.8210059171597,833.5636094674556,492.7684911242604,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3217.0,367.0705626359963,662.8486167236556,646.5101025800435,1025.618277898663,466.76841778054086,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1856.0,330.46875,645.6120689655172,629.140625,954.1740301724138,518.3049568965517,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2936.0,348.3705722070845,623.1345367847412,677.9029291553134,1028.2711171662124,475.7632833787466,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2532.0,369.2626382306477,646.8305687203791,628.1840442338073,904.8329383886256,501.7168246445498,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2156.0,306.36410018552874,570.969387755102,611.280612244898,938.275974025974,513.1683673469388,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1842.0,335.11726384364823,550.4934853420195,574.9636264929425,840.4630836047775,482.35504885993487,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3100.0,326.9209677419355,591.7812903225806,622.4909677419355,907.7164516129033,488.7383870967742,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2074.0,309.82931533269044,520.7777242044359,559.4864995178399,851.6793635486981,467.43924783027967,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2031.0,318.8956179222058,603.60462826194,606.5145248645987,960.4052191038896,553.8163466272772,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2936.0,379.258514986376,585.7847411444142,650.4046321525885,876.3579700272479,477.016689373297,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2347.0,287.68981678738817,487.72858968896463,498.03706859821045,734.5023434171283,436.2573498082659,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2279.0,403.4286967968407,581.4409828872313,660.6608161474331,844.3396226415094,469.7766564282581,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2125.0,309.2131764705882,525.4790588235294,545.3129411764706,813.4771764705882,506.3237647058823,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2003.0,315.5282076884673,493.0953569645531,529.8522216674987,769.6455317024463,468.9331003494758,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2342.0,282.4735269000854,436.0324508966695,481.5734415029889,819.2079419299744,518.2096498719044,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2032.0,366.6048228346457,621.871062992126,685.441437007874,996.4291338582676,529.8213582677165,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2518.0,408.2529785544083,588.4138204924543,679.3514694201748,868.6433677521843,490.47617156473393,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2379.0,286.07356031946193,496.9604875998319,494.1740226986129,724.5771332492644,451.2257250945776,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3929.0,311.271315856452,537.753626877068,543.666581827437,861.8360906082972,437.45889539322985,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2495.0,315.19599198396793,565.2953907815631,587.6248496993989,861.4669338677355,504.92705410821645,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3074.0,364.8318152244632,541.2745608327912,593.8841899804814,828.7888744307091,457.786597267404,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2710.0,391.0608856088561,583.8221402214023,629.2911439114391,891.5077490774908,463.80664206642064,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2802.0,264.8108493932905,473.6049250535332,468.7962169878658,740.1852248394005,437.0960028551035,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2232.0,302.6205197132617,463.48297491039426,569.0340501792115,747.9224910394265,488.07347670250897,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2222.0,483.5274527452745,761.7803780378038,992.3789378937894,1362.648514851485,688.7070207020702,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2890.0,368.7643598615917,623.2418685121107,650.8217993079585,890.79723183391,501.8304498269896,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2549.0,277.98744605727734,487.538250294233,491.41506473126714,720.0125539427227,442.97410749313457,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1865.0,526.943163538874,786.0991957104558,942.6198391420912,1257.9533512064345,628.4697050938338,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
1764.0,344.3826530612245,535.0572562358277,518.0566893424036,862.4455782312925,553.1751700680272,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2150.0,479.4846511627906,796.6423255813953,981.433488372093,1497.4,686.6790697674419,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2379.0,282.81210592686,550.7482135350988,580.4522908785203,751.9550231189576,459.3539302227827,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3350.0,346.0758208955224,514.9802985074626,630.9608955223881,918.36,488.70358208955224,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
3270.0,338.5929663608563,523.0207951070337,628.5761467889909,1060.3125382262997,487.0480122324159,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
2707.0,388.50572589582566,608.8108607314371,653.1780568895456,888.9785740672331,459.0572589582564,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
6570.0,253.0904109589041,517.7841704718417,554.6245053272451,732.0853881278539,447.0608828006089,cdp2bioactives_h23.ome_scene0_props,cdp2bioactives_h23.ome,0
